vgs_Rank,vgs_Platform,vgs_Genre,vgs_Publisher,vgs_NA_Sales,vgs_EU_Sales,vgs_JP_Sales,vgs_Other_Sales,vgs_Global_Sales,ign_score_phrase,ign_title,ign_score,ign_editors_choice,ign_release_year,ign_release_month,ign_release_day
35,"PlayStation 3",Shooter,Activision,4.99,5.88,0.65,2.52,14.03,Amazing,"Call of Duty: Black Ops II",9.3,Y,2012,11,13
36,"Xbox 360",Shooter,Activision,8.25,4.3,0.07,1.12,13.73,Amazing,"Call of Duty: Black Ops II",9.3,Y,2012,11,13
47,"Nintendo 64",Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,Amazing,"Super Mario 64",9.8,Y,1996,9,25
64,"Nintendo 64",Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,Great,"Mario Kart 64",8.1,Y,1997,2,20
66,"Xbox 360",Shooter,"Microsoft Game Studios",6.63,2.36,0.04,0.73,9.76,Amazing,"Halo 4",9.8,Y,2012,11,1
83,"PlayStation 3",Action,"Electronic Arts",1.06,5.05,0.13,2.01,8.24,Amazing,"FIFA Soccer 13",9,Y,2012,9,20
85,"Nintendo 64",Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,Amazing,"GoldenEye 007",9.7,Y,1997,8,25
117,PlayStation,Platform,"Sony Computer Entertainment",3.23,2.35,0.94,0.3,6.82,Good,"Crash Bandicoot",7.5,N,1996,11,21
129,"PlayStation 3",Action,Ubisoft,2.64,2.56,0.16,1.14,6.5,Great,"Assassin's Creed III",8.5,N,2012,10,30
153,PlayStation,Fighting,"Sony Computer Entertainment",2.26,1.89,1.36,0.23,5.74,Amazing,"Tekken 2",9,Y,1996,11,26
173,"Xbox 360",Action,Ubisoft,3.13,1.71,0.03,0.44,5.3,Great,"Assassin's Creed III",8.5,N,2012,10,30
184,"Wii U",Platform,Nintendo,2.32,1.3,1.27,0.31,5.19,Amazing,"New Super Mario Bros. U",9.1,Y,2012,11,15
186,"Xbox 360",Action,"Electronic Arts",1.08,3.48,0.03,0.58,5.18,Amazing,"FIFA Soccer 13",9,Y,2012,9,20
247,"Wii U",Misc,Nintendo,2.55,1.11,0.46,0.33,4.44,Great,"Nintendo Land",8.7,Y,2012,11,15
297,"Nintendo 64",Shooter,Nintendo,2.78,0.58,0.64,0.04,4.03,Great,"Star Fox 64",8.7,N,1997,5,16
383,"PlayStation 3",Shooter,Ubisoft,0.88,1.75,0.1,0.72,3.45,Amazing,"Far Cry 3",9,Y,2012,11,21
416,PlayStation,Fighting,"Sony Computer Entertainment",0.95,1.3,0.77,0.22,3.24,Good,Tekken,7.5,N,1996,11,26
439,"PlayStation 3",Shooter,Capcom,0.88,0.97,0.88,0.42,3.15,Good,"Resident Evil 6",7.9,N,2012,10,1
454,"Xbox 360",Shooter,"Take-Two Interactive",1.89,0.91,0.04,0.24,3.07,Amazing,"Borderlands 2",9,Y,2012,9,13
460,"Xbox 360",Shooter,Ubisoft,1.38,1.35,0.02,0.28,3.04,Amazing,"Far Cry 3",9,Y,2012,11,21
463,PlayStation,Platform,Ubisoft,1.54,1.33,0,0.16,3.03,Good,Rayman,7,N,1996,11,25
463,PlayStation,Platform,Ubisoft,1.54,1.33,0,0.16,3.03,Good,Rayman,7,N,1996,11,25
469,"Xbox 360",Sports,"Take-Two Interactive",2.6,0.21,0.01,0.19,3,Amazing,"NBA 2K13",9.1,Y,2012,9,27
485,"Nintendo 64",Racing,Nintendo,1.98,0.58,0.34,0.04,2.94,Amazing,"Wave Race 64",9.7,Y,1996,11,15
507,"Xbox 360",Sports,"Electronic Arts",2.53,0.16,0,0.17,2.86,Amazing,"Madden NFL 13",9,Y,2012,8,24
533,PlayStation,Fighting,"GT Interactive",1.98,0.7,0,0.11,2.79,Okay,"Mortal Kombat Trilogy",6,N,1996,12,19
572,Wii,Action,Activision,1.56,0.88,0,0.22,2.65,Great,"Skylanders Giants",8,N,2012,10,18
575,"Nintendo 64",Action,Nintendo,2,0.5,0.12,0.03,2.65,Okay,"Star Wars: Shadows of the Empire",6.5,N,1996,12,9
604,"PlayStation 3",Sports,"Electronic Arts",2.11,0.23,0,0.22,2.56,Amazing,"Madden NFL 13",9,Y,2012,8,24
624,"PlayStation 3",Sports,"Take-Two Interactive",1.72,0.44,0.05,0.27,2.48,Amazing,"NBA 2K13",9.1,Y,2012,9,27
632,PlayStation,Racing,"Sony Computer Entertainment",2.12,0.25,0,0.07,2.44,Good,"Twisted Metal 2",7.3,N,1997,1,7
647,PlayStation,Puzzle,JVC,2.1,0.24,0,0.07,2.4,Okay,"Tetris Plus",6,N,1996,11,26
693,PC,Action,NCSoft,0.95,1.06,0,0.29,2.3,Amazing,"Guild Wars 2",9,Y,2012,9,11
705,"PlayStation 3",Shooter,"Take-Two Interactive",1.05,0.77,0.1,0.36,2.28,Amazing,"Borderlands 2",9,Y,2012,9,13
707,"Nintendo 3DS",Role-Playing,Nintendo,1.12,0.39,0.64,0.12,2.27,Great,"Paper Mario: Sticker Star",8.3,N,2012,11,6
717,PlayStation,Sports,"UEP Systems",1.52,0.46,0.2,0.08,2.25,Good,"Cool Boarders 2",7.2,N,1997,11,11
747,"PlayStation 3",Action,"Square Enix",0.59,1.07,0.07,0.45,2.19,Amazing,"Hitman: Absolution",9,Y,2012,11,18
